# 動物（animal）。列: ja	reading	en	aliases（カンマ区切り。漢字・別名・英語の別表記）	level	seed	hint（ジャンル。10 秒のヒント）	english（英語の答え。必須。en は裏プロンプトで答えには使わない）
# 仕様: docs/spec/12-words.md。# で始まる行は無視。落とした語は消さずに # で残し、理由を書く
犬	いぬ	dog	狗,わんちゃん,ワンコ,わんこ,イヌ,子犬,こいぬ,柴犬,しばいぬ,ドッグ	1		ペット	dog,doggy,puppy,hound,pup
猫	ねこ	tabby cat sitting upright, full body	にゃんこ,ニャンコ,ネコ,子猫,こねこ,にゃー,にゃんにゃん,猫ちゃん,キャット	1		ペット	cat,kitten,tabby
#   ↑ en を「cat」から書き換え（60³ テスト: 縦に潰れる）
象	ぞう	elephant	ゾウさん,ゾウ,ぞうさん,パオーン,エレファント	1		サバンナ・砂漠の動物	elephant
馬	うま	horse	お馬さん,ウマ,おうま,馬さん,ホース	1		牧場の動物	horse
牛	うし	cow	乳牛,ウシ,うしさん,牛さん,モーモー,もーもー,カウ	1		牧場の動物	cow,cattle,bull,ox
豚	ぶた	pig	ぶたさん,ブタ,豚さん,子豚,こぶた,ピッグ	1		牧場の動物	pig,piggy,swine
羊	ひつじ	sheep	ヒツジ,ひつじさん,羊さん,メリー,めえめえ,シープ	1		牧場の動物	sheep,lamb
# ヤギ	やぎ	goat	山羊	1	# 落とした: 細かすぎて 60³ では見分けがつかない
ニワトリ	にわとり	chicken	鶏,鳥,とり,コケコッコー,雄鶏,雌鶏,チキン	1		牧場の動物	chicken,rooster,hen,cock
ウサギ	うさぎ	rabbit	兎,兔,うさちゃん,ウサちゃん,ラビット,バニー	1		ペット	rabbit,bunny,hare
クマ	くま	bear	熊,くまさん,クマさん,ベア,ヒグマ,ツキノワグマ,グリズリー,ベアー	1		森の動物	bear,grizzly
トラ	とら	tiger walking, full body side view, orange with black stripes	虎,タイガー,トラさん	1		サバンナ・砂漠の動物	tiger
#   ↑ en を「tiger」から書き換え（60³ テスト: 絵が顔の接写）
# ライオン	らいおん	male lion standing, full body side view, big mane	獅子	1	# 落とした: 生成テスト 60³(2026-09-21): 塊
#   ↑ en を「lion」から書き換え（60³ テスト: 塊）
キリン	きりん	giraffe	麒麟,ジラフ	1		サバンナ・砂漠の動物	giraffe
パンダ	ぱんだ	panda	ジャイアントパンダ,パンダさん	1		動物園の人気者	panda,giant panda
ペンギン	ぺんぎん	penguin	ペンギンさん,皇帝ペンギン,コウテイペンギン	1		寒いところの動物	penguin
魚	さかな	fish	お魚,サカナ,おさかな,魚さん,鯛,たい,タイ,フィッシュ	1		海の生き物	fish
カメ	かめ	turtle	亀,ウミガメ,海亀,リクガメ,タートル,カメさん,かめさん	1		爬虫類・両生類	turtle,tortoise,sea turtle,terrapin,seaturtle
カエル	かえる	frog	蛙,ケロケロ,けろけろ,ガマガエル,アマガエル,フロッグ	1		爬虫類・両生類	frog
# ヘビ	へび	snake	蛇,serpent	2	# 落とした: 生成テスト 60³(2026-09-21): とぐろの塊（コブラで代える）
# チョウ	ちょう	butterfly	蝶,ちょうちょ,蝶々	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い板
カニ	かに	crab	蟹,カニさん,ズワイガニ,タラバガニ,クラブ	1		海の生き物	crab
タコ	たこ	octopus	蛸,タコさん,オクトパス,章魚	1		海の生き物	octopus
イルカ	いるか	dolphin figurine on a stand, full body side view	海豚,ドルフィン,イルカさん,バンドウイルカ	1		海の生き物	dolphin
#   ↑ en を「dolphin」から書き換え（60³ テスト: 半分消える）
クジラ	くじら	blue whale figurine, full body side view	鯨,ホエール,シロナガスクジラ,マッコウクジラ,クジラさん	1		海の生き物	whale,blue whale
#   ↑ en を「whale」から書き換え（60³ テスト: 崩れる）
恐竜	きょうりゅう	dinosaur	ダイナソー,ティラノサウルス,ティラノ,トリケラトプス,ブラキオサウルス,ステゴサウルス	1		爬虫類・両生類	dinosaur,dino,t-rex,tyrannosaurus
サメ	さめ	shark	鮫,シャーク,ホオジロザメ,ジョーズ	1		海の生き物	shark
シカ	しか	deer	鹿,ディア,奈良の鹿,ディアー	1		森の動物	deer,stag
オオカミ	おおかみ	wolf	狼,ウルフ	1		森の動物	wolf
