# キャラクター・人型・空想の生き物（character）。実在の人物は入れない。列: ja	reading	en	aliases	level	seed	hint（ジャンル。10 秒のヒント）	english（英語の答え。必須。en は裏プロンプトで答えには使わない）
ピカチュウ	ぴかちゅう	Pikachu	ピカ,ぴか,ピカちゅう,ピカチュー,ピカチュウのぬいぐるみ,ポケモンのピカチュウのぬいぐるみ,ぴかちゅうのぬいぐるみ	1		ポケモン	Pikachu,pikachu plush
ドラえもん	どらえもん	Doraemon	ドラちゃん,ドラ	1		アニメ・ゲームの主役	Doraemon
アンパンマン	あんぱんまん	Anpanman		1		アニメ・ゲームの主役	Anpanman
#   ↑ en を「Anpanman」から書き換え（2026-09-21。翻訳ではなく生成用の説明にする）
バイキンマン	ばいきんまん	Baikinman from Anpanman, purple round body with black cape and antenna	ばいきんまん,ばいきん,バイキン	2		アンパンマン	baikinman
#   ↑ en を「Baikinman」から書き換え（60³ テスト: 絵が違う）
マリオ	まりお	Super Mario	スーパーマリオ,マリオブラザーズ	1		アニメ・ゲームの主役	Super Mario,mario
# ルイージ	るいーじ	Luigi	luigi	2	# 落とした: 細かすぎて 60³ では見分けがつかない
クッパ	くっぱ	Bowser koopa king, green turtle shell with spikes, full body	大魔王クッパ,クッパ大魔王	2		マリオ	bowser,koopa
#   ↑ en を「Bowser」から書き換え（60³ テスト: 崩れる）
ヨッシー	よっしー	Yoshi green dinosaur from Mario, full body	ヨッシ	1		マリオ	yoshi
#   ↑ en を「Yoshi」から書き換え（60³ テスト: 黄色になる）
キノピオ	きのぴお	Toad from Super Mario, white mushroom cap with red spots, full body	キノピオくん	2		マリオ	toad
#   ↑ en を「Toad from Mario」から書き換え（60³ テスト: 絵がカエル）
# ピーチ姫	ぴーちひめ	Princess Peach	ピーチ,peach	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# ソニック	そにっく	Sonic the Hedgehog	sonic	1	# 落とした: 生成テスト 60³(2026-09-21): ノイズ
カービィ	かーびぃ	Kirby	カービー,星のカービィ	1		任天堂のキャラ	Kirby
モンスターボール	もんすたーぼーる	Poke Ball	ポケモンボール	1		ポケモン	Poke Ball,pokeball
# ミッキーマウス	みっきーまうす	Mickey Mouse	ミッキー,mickey,mickeymouse,ミニー	1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ミニーマウス	みにーまうす	Minnie Mouse	ミニー,minnie	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# ドナルドダック	どなるどだっく	Donald Duck	ドナルド,donald	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# くまのプーさん	くまのぷーさん	Winnie the Pooh	プーさん,ぷーさん,プー	1		ディズニー	winnie the pooh,pooh,pooh bear,winniethepooh	# 2026-09-21 ディズニーは消す（本人）
スヌーピー	すぬーぴー	Snoopy	ピーナッツ	1		絵本・海外のキャラ	Snoopy
ハローキティ	はろーきてぃ	Hello Kitty	キティ,キティちゃん,きてぃ	1		サンリオ・ゆるキャラ	Hello Kitty,kitty,hellokitty
# リラックマ	りらっくま	Rilakkuma	rilakkuma	2	# 落とした: 細かすぎて 60³ では見分けがつかない
トトロ	ととろ	Totoro grey round forest spirit with big belly, full body	となりのトトロ,大トトロ	1		ジブリ	totoro
#   ↑ en を「Totoro」から書き換え（60³ テスト: 白い塊）
ガンダム	がんだむ	Gundam robot		2		SF・アニメの機体	Gundam robot,gundam,mobile suit
# ゴジラ	ごじら	Godzilla	godzilla	1	# 落とした: 生成テスト 60³(2026-09-21): ノイズ
# キングコング	きんぐこんぐ	King Kong	kingkong	2	# 落とした: 細かすぎて 60³ では見分けがつかない
ウルトラマン	うるとらまん	Ultraman	ウルトラ	2		特撮ヒーロー・怪獣	Ultraman
ドラゴン	どらごん	chubby baby dragon	竜,龍,りゅう,ドラゴンベビー	1		伝説の生き物	chubby baby dragon,dragon
ユニコーン	ゆにこーん	unicorn	一角獣,いっかくじゅう	1		伝説の生き物	unicorn
# ペガサス	ぺがさす	pegasus	天馬	2	# 落とした: 細かすぎて 60³ では見分けがつかない
フェニックス	ふぇにっくす	phoenix	鳳凰,不死鳥,ほうおう,ふしちょう,火の鳥	2		伝説の生き物	phoenix
# 河童	かっぱ	kappa river imp	kappa	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
