# 乗り物（vehicle）。列: ja	reading	en	aliases	level	seed	hint（ジャンル。10 秒のヒント）	english（英語の答え。必須。en は裏プロンプトで答えには使わない）
車	くるま	car	自動車,乗用車,じどうしゃ,カー,ブーブー,ぶーぶー	1		道路を走る乗り物	car,automobile,auto
# スポーツカー	すぽーつかー	sports car	sportscar	1	# 落とした: 生成テスト 60³(2026-09-21): 車と紛らわしい
# レーシングカー	れーしんぐかー	racing car	racecar,race car,F1カー,F1	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# タクシー	たくしー	taxi	cab,taxicab	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# パトカー	ぱとかー	police car	警察車,policecar	1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
消防車	しょうぼうしゃ	fire engine	ポンプ車,はしご車,赤い車	1		はたらく乗り物	fire engine,fire truck,firetruck
救急車	きゅうきゅうしゃ	ambulance	アンビュランス	1		はたらく乗り物	ambulance
バス	ばす	bus	路線バス	1		大勢を運ぶ乗り物	bus
二階建てバス	にかいだてばす	double-decker bus	2階建てバス,ロンドンバス	2		大勢を運ぶ乗り物	double-decker bus,double decker,doubledecker
トラック	とらっく	truck	運送トラック	1		はたらく乗り物	truck,lorry
# ダンプカー	だんぷかー	dump truck	ダンプ,dumptruck	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# ミキサー車	みきさーしゃ	concrete mixer truck	cement mixer	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ゴミ収集車	ごみしゅうしゅうしゃ	garbage truck	ゴミ収集車,清掃車,garbagetruck	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# キャンピングカー	きゃんぴんぐかー	camper van	キャンパー,RV,motorhome	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# ジープ	じーぷ	jeep		2	# 落とした: 細かすぎて 60³ では見分けがつかない
# トラクター	とらくたー	tractor		1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ショベルカー	しょべるかー	excavator	パワーショベル,ユンボ,digger	1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ブルドーザー	ぶるどーざー	bulldozer		2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# クレーン車	くれーんしゃ	crane truck	クレーン,cranetruck	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# フォークリフト	ふぉーくりふと	forklift		2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ロードローラー	ろーどろーらー	road roller	roadroller,steamroller	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 自転車	じてんしゃ	bicycle	チャリ,チャリンコ,bike	1	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 三輪車	さんりんしゃ	tricycle		2	# 落とした: 細かすぎて 60³ では見分けがつかない
# バイク	ばいく	motorcycle	オートバイ,motorbike	1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# スクーター	すくーたー	scooter	原付	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# 一輪車	いちりんしゃ	unicycle		2	# 落とした: 生成テスト 60³(2026-09-21): 輪
# キックボード	きっくぼーど	kick scooter	kickscooter	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# スケートボード	すけーとぼーど	skateboard	スケボー	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 蒸気機関車	じょうききかんしゃ	steam locomotive	機関車,SL,locomotive	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 新幹線	しんかんせん	shinkansen bullet train	shinkansen	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 路面電車	ろめんでんしゃ	tram	トラム,streetcar	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 飛行機	ひこうき	airplane	plane,aircraft	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ジェット機	じぇっとき	jet plane	jet	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# 戦闘機	せんとうき	fighter jet	fighter	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 複葉機	ふくようき	biplane		2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# プロペラ機	ぷろぺらき	propeller plane	セスナ	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# ヘリコプター	へりこぷたー	helicopter	ヘリ,chopper	1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
気球	ききゅう	hot air balloon	熱気球,ねつききゅう	1		空を飛ぶ乗り物	hot air balloon,hotairballoon
# 飛行船	ひこうせん	airship		2	# 落とした: 生成テスト 60³(2026-09-21): 白い塊
# グライダー	ぐらいだー	glider		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ドローン	どろーん	drone		2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
ロケット	ろけっと	rocket		1		空を飛ぶ乗り物	rocket
スペースシャトル	すぺーすしゃとる	space shuttle	シャトル,宇宙船,うちゅうせん	2		空を飛ぶ乗り物	space shuttle,shuttle,spaceship,spaceshuttle
# 人工衛星	じんこうえいせい	satellite	衛星	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
UFO	ゆーふぉー	UFO	ユーフォー,空飛ぶ円盤,円盤,えんばん	1		空を飛ぶ乗り物	UFO,flying saucer
